session,user,stage,start,end,side,filename,moving_hand,held_out_user,held_out_stage,split,generalization
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,ThumbsUpDownThumbRotationsCWCCWP,1649400089.0833333,1649400157.05,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-1_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,ThumbsUpDownThumbRotationsCWCCWP,1649400089.0833333,1649400157.05,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-1_right,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,HandClawGraspFlicks,1649400996.3833334,1649401079.9833333,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-10_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,HandClawGraspFlicks,1649400996.3833334,1649401079.9833333,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-10_right,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,ShakaVulcanPeace,1649401093.4,1649401165.1333334,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-11_left,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,ShakaVulcanPeace,1649401093.4,1649401165.1333334,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-11_right,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,HookEmHornsOKScissors,1649401178.35,1649401199.9833333,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-12_left,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,HookEmHornsOKScissors,1649401178.35,1649401199.9833333,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-12_right,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,HookEmHornsOKScissors,1649314883.5666666,1649314950.7333333,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-13_left,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,HookEmHornsOKScissors,1649314883.5666666,1649314950.7333333,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-13_right,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,TwoHandedFreeStyle,1649314969.2166667,1649315166.4666667,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-14_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,TwoHandedFreeStyle,1649314969.2166667,1649315166.4666667,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-14_right,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,TwoHandedFreeStyle,1649315190.6,1649315252.4333334,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-15_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,TwoHandedFreeStyle,1649315190.6,1649315252.4333334,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-15_right,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,unconstrained,1649315268.4166667,1649315337.6333334,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-16_left,right,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,OneHandedFreeStyle,1649315268.4166667,1649315337.6333334,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-16_right,right,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,OneHandedFreeStyle,1649315357.1666667,1649315424.9,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-17_left,left,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,unconstrained,1649315357.1666667,1649315424.9,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-17_right,left,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,CountingUpDownFaceSideAway,1649400184.6333334,1649400250.8,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-2_left,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,CountingUpDownFaceSideAway,1649400184.6333334,1649400250.8,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-2_right,both,True,True,val,user_stage
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,ThumbsSwipesWholeHand,1649400269.85,1649400302.2833333,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-3_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,ThumbsSwipesWholeHand,1649400269.85,1649400302.2833333,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-3_right,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,ThumbsSwipesWholeHand,1649400415.05,1649400477.05,left,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-4_left,both,True,False,val,user
2022-04-07-1649318400-8125c-cv-emg-pose-train@2,29ddab35d7,ThumbsSwipesWholeHand,1649400415.05,1649400477.05,right,2022-04-07-1649318400-8125c-cv-emg-pose-train@2-recording-4_right,both,True,False,val,user
